session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
Pretrain,list1,1,Burg_rot,Burg,rot,13,LFP,SN,cblock,building,Burg_rot,burg_rot.png
Pretrain,list1,2,Hemd_weiss,Hemd,weiss,27,HFP,SN,cblock,clothing,Hemd_weiss,hemd_weiss.png
Pretrain,list1,3,Feder_weiss,Feder,weiss,20,HFP,SN,cblock,etc,Feder_weiss,feder_weiss.png
Pretrain,list1,4,Apfel_rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel_rot,apfel_rot.png
Pretrain,list1,5,Baum_gruen,Baum,gruen,3,HFP,SN,cblock,nature,Baum_gruen,baum_gruen.png
Pretrain,list1,6,Bett_gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett_gruen,bett_gruen.png
Pretrain,list1,7,Frau_schwarz,Frau,schwarz,23,HFP,SN,cblock,human,Frau_schwarz,frau_schwarz.png
Pretrain,list1,8,Topf_schwarz,Topf,schwarz,56,LFP,SN,cblock,tool,Topf_schwarz,topf_schwarz.png
Pretrain,list1,9,Blatt_gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt_gruen,blatt_gruen.png
Pretrain,list1,10,Bus_schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus_schwarz,bus_schwarz.png
Pretrain,list1,11,Dach_rot,Dach,rot,15,HFP,SN,cblock,building,Dach_rot,dach_rot.png
Pretrain,list1,12,Hose_schwarz,Hose,schwarz,29,HFP,SN,cblock,clothing,Hose_schwarz,hose_schwarz.png
Pretrain,list1,13,Flagge_schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge_schwarz,flagge_schwarz.png
Pretrain,list1,14,Pflanze_rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze_rot,pflanze_rot.png
Pretrain,list1,15,Ei_gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei_gruen,ei_gruen.png
Pretrain,list1,16,Fabrik_rot,Fabrik,rot,18,LFP,SN,cblock,building,Fabrik_rot,fabrik_rot.png
Pretrain,list1,17,Hut_schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut_schwarz,hut_schwarz.png
Pretrain,list1,18,Wolke_rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke_rot,wolke_rot.png
Pretrain,list1,19,Tisch_gruen,Tisch,gruen,54,HFP,SN,cblock,furniture,Tisch_gruen,tisch_gruen.png
Pretrain,list1,20,Mauer_gruen,Mauer,gruen,40,LFP,SN,cblock,building,Mauer_gruen,mauer_gruen.png
Pretrain,list1,21,Kleid_weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid_weiss,kleid_weiss.png
Pretrain,list1,22,Wueste_rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste_rot,wueste_rot.png
Pretrain,list1,23,Mann_gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann_gruen,mann_gruen.png
Pretrain,list1,24,Nest_gruen,Nest,gruen,41,LFP,SN,cblock,building,Nest_gruen,nest_gruen.png
Pretrain,list1,25,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SN,cblock,transportation,Flugzeug_weiss,flugzeug_weiss.png
Pretrain,list1,26,Mantel_schwarz,Mantel,schwarz,39,HFP,SN,cblock,clothing,Mantel_schwarz,mantel_schwarz.png
Pretrain,list1,27,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SN,cblock,etc,Zeitung_schwarz,zeitung_schwarz.png
Pretrain,list1,28,Turm_weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm_weiss,turm_weiss.png
Pretrain,list1,29,Zweig_weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig_weiss,zweig_weiss.png
Pretrain,list1,30,Schuh_rot,Schuh,rot,50,HFP,SN,cblock,clothing,Schuh_rot,schuh_rot.png
Pretrain,list1,31,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
